rank,price,departure flight duration,departure flight stops,departure details,arrival flight duration,arrival flight stops,arrival details
Result number 2: $940 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by China Airlines. Departs from Beijing, China - Capital on 5/27 at 12:30 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:20 pm. 1 stop (TPE). Total duration: 21h 50m. Go to next result Go to price Go to flight info See details Hide details Rating: 10 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 12:30 pm – 7:20 pm China Airlines 1 stop TPE 21h 50m PEK ‐ YVR 0 0 $940 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 21h 50m Wed, May 27 12:30 pm — 3:50 pm Beijing (PEK) - Taipei (TPE) Economy 3h 20m China Airlines 512 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) Long layover 7h 45m Wed, May 27 11:35 pm — 7:20 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m China Airlines 32 · Wide-body jet · Airbus A350-900 Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $940 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 3: $1118 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 8:40 am, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 35h 15m. Leg 2: Provided by China Airlines. Departs from Beijing, China - Capital on 5/27 at 12:30 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:20 pm. 1 stop (TPE). Total duration: 21h 50m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 8:40 am – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 35h 15m YVR ‐ PEK 12:30 pm – 7:20 pm China Airlines 1 stop TPE 21h 50m PEK ‐ YVR 0 0 $1118 FlightNetwork View Deal Depart YVR - PEK 35h 15m Mon, Apr 27 8:40 am — 11:40 am Vancouver (YVR) - Los Angeles (LAX) Economy 3h 00m Air Canada 550 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 12h 25m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 21h 50m Wed, May 27 12:30 pm — 3:50 pm Beijing (PEK) - Taipei (TPE) Economy 3h 20m China Airlines 512 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) Long layover 7h 45m Wed, May 27 11:35 pm — 7:20 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m China Airlines 32 · Wide-body jet · Airbus A350-900 Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1118 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 4: $1129 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 12:30 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 8:41 pm. 2 stops (TPE, LAX). Total duration: 23h 11m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 12:30 pm – 8:41 pm China Airlines, Air Canada 2 stops TPE, LAX 23h 11m PEK ‐ YVR 0 0 $1129 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 23h 11m Wed, May 27 12:30 pm — 3:50 pm Beijing (PEK) - Taipei (TPE) Economy 3h 20m China Airlines 512 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) 1h 00m Wed, May 27 4:50 pm — 1:50 pm Taipei (TPE) - Los Angeles (LAX) Economy 12h 00m China Airlines 6 · Wide-body jet · Airbus A350-900 Change planes in Los Angeles (LAX) Long layover 4h 00m Wed, May 27 5:50 pm — 8:41 pm Los Angeles (LAX) - Vancouver (YVR) Economy 2h 51m Air Canada 557 · Narrow-body jet · Airbus A319 Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1129 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 5: $1129 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by China Airlines. Departs from Beijing, China - Capital on 5/27 at 12:30 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 10:43 pm. 2 stops (TPE, LAX). Total duration: 25h 13m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 12:30 pm – 10:43 pm China Airlines 2 stops TPE, LAX 25h 13m PEK ‐ YVR 0 0 $1129 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 25h 13m Wed, May 27 12:30 pm — 3:50 pm Beijing (PEK) - Taipei (TPE) Economy 3h 20m China Airlines 512 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) 1h 00m Wed, May 27 4:50 pm — 1:50 pm Taipei (TPE) - Los Angeles (LAX) Economy 12h 00m China Airlines 6 · Wide-body jet · Airbus A350-900 Change planes in Los Angeles (LAX) Long layover 6h 05m Wed, May 27 7:55 pm — 10:43 pm Los Angeles (LAX) - Vancouver (YVR) Economy 2h 48m China Airlines 9320 · Narrow-body jet · Boeing 737-800 Passenger/BBJ2 (winglets) Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1129 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 6: $1336 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 8:40 am, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 35h 15m. Leg 2: Provided by China Airlines. Departs from Beijing, China - Capital on 5/27 at 12:30 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 10:43 pm. 2 stops (TPE, LAX). Total duration: 25h 13m. Go to next result Go to price Go to flight info See details Hide details Rating: 8 8:40 am – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 35h 15m YVR ‐ PEK 12:30 pm – 10:43 pm China Airlines 2 stops TPE, LAX 25h 13m PEK ‐ YVR 0 0 $1336 FlightNetwork View Deal Depart YVR - PEK 35h 15m Mon, Apr 27 8:40 am — 11:40 am Vancouver (YVR) - Los Angeles (LAX) Economy 3h 00m Air Canada 550 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 12h 25m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 25h 13m Wed, May 27 12:30 pm — 3:50 pm Beijing (PEK) - Taipei (TPE) Economy 3h 20m China Airlines 512 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) 1h 00m Wed, May 27 4:50 pm — 1:50 pm Taipei (TPE) - Los Angeles (LAX) Economy 12h 00m China Airlines 6 · Wide-body jet · Airbus A350-900 Change planes in Los Angeles (LAX) Long layover 6h 05m Wed, May 27 7:55 pm — 10:43 pm Los Angeles (LAX) - Vancouver (YVR) Economy 2h 48m China Airlines 9320 · Narrow-body jet · Boeing 737-800 Passenger/BBJ2 (winglets) Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1336 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 7: $1361 from Kiwi.com.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 2:00 am, lands in Beijing, China - Capital on 4/28 at 12:35 pm. 1 stop (TPE). Total duration: 19h 35m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 9:30 am, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:40 pm. 2 stops (CKG, TPE). Total duration: 25h 10m.Operated by EVA Air Go to next result Go to price Go to flight info See details Hide details Rating: 9 2:00 am – 12:35 pm +1 EVA Air, Air China 1 stop TPE 19h 35m YVR ‐ PEK 9:30 am – 7:40 pm Air China, EVA Air 2 stops CKG, TPE 25h 10m PEK ‐ YVR Operated by EVA Air 0 1 $1361 Kiwi.com View Deal Depart YVR - PEK 19h 35m Mon, Apr 27 Lands Tue, Apr 28 2:00 am — 5:30 am Vancouver (YVR) - Taipei (TPE) Economy 12h 30m EVA Air 9 · Wide-body jet · Boeing 787-9 Dreamliner Change planes in Taipei (TPE) Long layover 3h 45m Self-transfer - Bag re-check may be required Tue, Apr 28 9:15 am — 12:35 pm Taipei (TPE) - Beijing (PEK) Economy 3h 20m Air China 5516 · Narrow-body jet · Airbus A321-100/200 Operated by EVA Air Return PEK - YVR 25h 10m Wed, May 27 9:30 am — 12:30 pm Beijing (PEK) - Chongqing (CKG) Economy 3h 00m Air China 1429 · Narrow-body jet · Boeing 737-800 Change planes in Chongqing (CKG) 2h 45m Wed, May 27 3:15 pm — 6:20 pm Chongqing (CKG) - Taipei (TPE) Economy 3h 05m Air China 409 · Narrow-body jet · Boeing 737-800 Change planes in Taipei (TPE) Long layover 5h 35m Self-transfer - Bag re-check may be required Wed, May 27 11:55 pm — 7:40 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m EVA Air 10 · Wide-body jet · Boeing 777-300ER Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add Included $1361 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 8: $1410 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by EVA Air. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:40 pm. 1 stop (TPE). Total duration: 14h 45m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 7:55 pm – 7:40 pm EVA Air 1 stop TPE 14h 45m PEK ‐ YVR 0 0 $1410 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 14h 45m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 0h 55m Wed, May 27 11:55 pm — 7:40 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m EVA Air 10 · Wide-body jet · Boeing 777-300ER Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1410 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 9: $1420 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:40 pm, lands in Beijing, China - Capital on 4/29 at 7:10 pm. 2 stops (HND, HKG). Total duration: 35h 30m. Leg 2: Provided by EVA Air. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:40 pm. 1 stop (TPE). Total duration: 14h 45m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 4:40 pm – 7:10 pm +2 ANA, Hong Kong Airlines 2 stops HND, HKG 35h 30m YVR ‐ PEK 7:55 pm – 7:40 pm EVA Air 1 stop TPE 14h 45m PEK ‐ YVR 0 0 $1420 FlightNetwork View Deal Depart YVR - PEK 35h 30m Mon, Apr 27 Lands Tue, Apr 28 4:40 pm — 6:45 pm Vancouver (YVR) - Tokyo (HND) Economy 10h 05m ANA 115 · Wide-body jet · Boeing 787-9 Dreamliner Change planes in Tokyo (HND) Long layover 14h 00m Wed, Apr 29 8:45 am — 12:20 pm Tokyo (HND) - Hong Kong (HKG) Economy 4h 35m ANA 859 · Wide-body jet · Boeing 787-9 Dreamliner Change planes in Hong Kong (HKG) Long layover 3h 25m Wed, Apr 29 3:45 pm — 7:10 pm Hong Kong (HKG) - Beijing (PEK) Economy 3h 25m Hong Kong Airlines 312 · Wide-body jet · Airbus A330-300 Return PEK - YVR 14h 45m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 0h 55m Wed, May 27 11:55 pm — 7:40 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m EVA Air 10 · Wide-body jet · Boeing 777-300ER Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1420 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 10: $1523 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 8:40 am, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 35h 15m. Leg 2: Provided by EVA Air. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:40 pm. 1 stop (TPE). Total duration: 14h 45m. Go to next result Go to price Go to flight info See details Hide details Rating: 9 8:40 am – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 35h 15m YVR ‐ PEK 7:55 pm – 7:40 pm EVA Air 1 stop TPE 14h 45m PEK ‐ YVR 0 0 $1523 FlightNetwork View Deal Depart YVR - PEK 35h 15m Mon, Apr 27 8:40 am — 11:40 am Vancouver (YVR) - Los Angeles (LAX) Economy 3h 00m Air Canada 550 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 12h 25m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 14h 45m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 0h 55m Wed, May 27 11:55 pm — 7:40 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m EVA Air 10 · Wide-body jet · Boeing 777-300ER Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1523 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 11: $1529 from Kiwi.com.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 2:00 am, lands in Beijing, China - Capital on 4/29 at 12:05 am. 2 stops (TPE, MNL). Total duration: 31h 05m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 1:00 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/27 at 7:20 pm. 2 stops (HKG, TPE). Total duration: 21h 20m. Go to next result Go to price Go to flight info See details Hide details Rating: 8 2:00 am – 12:05 am +2 Multiple Airlines 2 stops TPE, MNL 31h 05m YVR ‐ PEK 1:00 pm – 7:20 pm Air China, China Airlines 2 stops HKG, TPE 21h 20m PEK ‐ YVR 0 0 $1529 Kiwi.com View Deal Depart YVR - PEK 31h 05m Mon, Apr 27 Lands Tue, Apr 28 2:00 am — 5:30 am Vancouver (YVR) - Taipei (TPE) Economy 12h 30m EVA Air 9 · Wide-body jet · Boeing 787-9 Dreamliner Change planes in Taipei (TPE) Long layover 4h 55m Self-transfer - Bag re-check may be required Tue, Apr 28 10:25 am — 12:55 pm Taipei (TPE) - Manila (MNL) Economy 2h 30m Philippines AirAsia 125 · Narrow-body jet · Airbus A320-100/200 Change planes in Manila (MNL) Long layover 6h 20m Self-transfer - Bag re-check may be required Tue, Apr 28 Lands Wed, Apr 29 7:15 pm — 12:05 am Manila (MNL) - Beijing (PEK) Economy 4h 50m Cebu Pacific 672 · Narrow-body jet · Airbus A321-100/200 Return PEK - YVR 21h 20m Wed, May 27 1:00 pm — 4:25 pm Beijing (PEK) - Hong Kong (HKG) Economy 3h 25m Air China 109 · Wide-body jet · Airbus A330-300 Change planes in Hong Kong (HKG) Long layover 3h 45m Self-transfer - Bag re-check may be required Wed, May 27 8:10 pm — 10:05 pm Hong Kong (HKG) - Taipei (TPE) Economy 1h 55m China Airlines 920 · Wide-body jet · Boeing 747-400 Change planes in Taipei (TPE) 1h 30m Wed, May 27 11:35 pm — 7:20 pm Taipei (TPE) - Vancouver (YVR) Economy 10h 45m China Airlines 32 · Wide-body jet · Airbus A350-900 Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1529 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 12: $1532 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/28 at 8:58 am. 2 stops (TPE, SEA). Total duration: 28h 03m. Go to next result Go to price Go to flight info See details Hide details Rating: 8 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 7:55 pm – 8:58 am +1 EVA Air, Air Canada 2 stops TPE, SEA 28h 03m PEK ‐ YVR 0 0 $1532 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 28h 03m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) Short layover 0h 40m Wed, May 27 11:40 pm — 7:35 pm Taipei (TPE) - Seattle (SEA) Economy 10h 55m EVA Air 26 · Wide-body jet · Boeing 787-9 Dreamliner Change planes in Seattle (SEA) Long layover 12h 25m Thu, May 28 8:00 am — 8:58 am Seattle (SEA) - Vancouver (YVR) Economy 0h 58m Air Canada 8080 · Turbo-prop plane · De Havilland (Bombardier) DHC-8-400 Dash 8Q Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1532 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 13: $1532 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/28 at 9:32 am. 2 stops (TPE, LAX). Total duration: 28h 37m. Go to next result Go to price Go to flight info See details Hide details Rating: 8 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 7:55 pm – 9:32 am +1 EVA Air, Air Canada 2 stops TPE, LAX 28h 37m PEK ‐ YVR 0 0 $1532 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 28h 37m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 0h 55m Wed, May 27 11:55 pm — 8:55 pm Taipei (TPE) - Los Angeles (LAX) Economy 12h 00m EVA Air 16 · Wide-body jet · Boeing 777-300ER Change planes in Los Angeles (LAX) Long layover 9h 45m Thu, May 28 6:40 am — 9:32 am Los Angeles (LAX) - Vancouver (YVR) Economy 2h 52m Air Canada 551 · Narrow-body jet · Airbus A320-100/200 Booking options Booking site 24h free cancellation Carry-on bag Checked bag You Pay add add $1532 All details are based on the policies, customer feedback and price reliability of each booking site.
Result number 14: $1532 from FlightNetwork.,Leg 1: Provided by Multiple Airlines. Departs from Vancouver, BC, Canada - Vancouver Intl on 4/27 at 4:30 pm, lands in Beijing, China - Capital on 4/29 at 10:55 am. 2 stops (LAX, TPE). Total duration: 27h 25m. Leg 2: Provided by Multiple Airlines. Departs from Beijing, China - Capital on 5/27 at 7:55 pm, lands in Vancouver, BC, Canada - Vancouver Intl on 5/28 at 10:49 am. 2 stops (TPE, SFO). Total duration: 29h 54m. Go to next result Go to price Go to flight info See details Hide details Rating: 8 4:30 pm – 10:55 am +2 Air Canada, China Airlines 2 stops LAX, TPE 27h 25m YVR ‐ PEK 7:55 pm – 10:49 am +1 EVA Air, Air Canada 2 stops TPE, SFO 29h 54m PEK ‐ YVR 0 0 $1532 FlightNetwork View Deal Depart YVR - PEK 27h 25m Mon, Apr 27 4:30 pm — 7:25 pm Vancouver (YVR) - Los Angeles (LAX) Economy 2h 55m Air Canada 556 · Narrow-body jet · Airbus A321-100/200 Change planes in Los Angeles (LAX) Long layover 4h 40m Tue, Apr 28 Lands Wed, Apr 29 12:05 am — 5:00 am Los Angeles (LAX) - Taipei (TPE) Economy 13h 55m China Airlines 7 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) 2h 40m Wed, Apr 29 7:40 am — 10:55 am Taipei (TPE) - Beijing (PEK) Economy 3h 15m China Airlines 511 · Narrow-body jet · Boeing 737-800 Return PEK - YVR 29h 54m Wed, May 27 7:55 pm — 11:00 pm Beijing (PEK) - Taipei (TPE) Economy 3h 05m EVA Air 715 · Wide-body jet · Boeing 777-300ER Change planes in Taipei (TPE) Long layover 11h 15m Thu, May 28 10:15 am — 6:40 am Taipei (TPE) - San Francisco (SFO) Economy 11h 25m EVA Air 8 · Wide-body jet · Boeing 777-300ER Change planes in San Francisco (SFO) 1h 50m Thu, May 28 8:30 am — 10:49 am 